index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
53744,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26899,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
100687,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
99574,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
66460,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
84071,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
61128,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
84613,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
30651,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
84844,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
57332,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
100805,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
39373,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5092,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
41708,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
107417,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
83959,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
45348,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
35134,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
4801,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
45035,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
24901,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
87667,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
84278,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
74598,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
3797,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
89136,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
37983,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
63073,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
96710,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
91045,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
72143,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
